name,price,image_url,units,category
"Tender Coconut Water - No Added Sugar, Flavours",400,https://www.bigbasket.com/media/uploads/p/l/1214884_9-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,8x200 ml,Beverages
"Tender Coconut Water - No Added Sugar, Flavours",600,https://www.bigbasket.com/media/uploads/p/l/1214885_4-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,12x200 ml,Beverages
"Tender Coconut Water - No Added Sugar, Flavours",1200,https://www.bigbasket.com/media/uploads/p/l/1214886_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,24x200 ml,Beverages
Frozen Green Peas,135,https://www.bigbasket.com/media/uploads/p/l/40192104_9-fresho-frozen-green-peas.jpg,500 g,Snacks & Branded Foods
Frozen Green Peas,480,https://www.bigbasket.com/media/uploads/p/l/1214513_9-fresho-frozen-green-peas.jpg,2x1 kg,Snacks & Branded Foods
Frozen Green Peas,240,https://www.bigbasket.com/media/uploads/p/l/40163718_11-fresho-frozen-green-peas.jpg,1 Kg,Snacks & Branded Foods
Frozen Green Peas,270,https://www.bigbasket.com/media/uploads/p/l/1210065_9-fresho-frozen-green-peas.jpg,2x500 g,Snacks & Branded Foods
Tea - Natural Care,650,https://www.bigbasket.com/media/uploads/p/l/226491_10-red-label-tea-natural-care.jpg,1 kg,Beverages
Tea - Natural Care,170,https://www.bigbasket.com/media/uploads/p/l/266615_12-red-label-tea-natural-care.jpg,250 g,Beverages
Tea - Natural Care,330,https://www.bigbasket.com/media/uploads/p/l/274791_12-red-label-tea-natural-care.jpg,500 g,Beverages
Tea - Natural Care,65,https://www.bigbasket.com/media/uploads/p/l/266583_10-red-label-tea-natural-care.jpg,100 g,Beverages
Tea,800,https://www.bigbasket.com/media/uploads/p/l/137936_11-taj-mahal-tea.jpg,1 Kg,Beverages
Tea,410,https://www.bigbasket.com/media/uploads/p/l/266564_11-taj-mahal-tea.jpg,500 g,Beverages
Rich & Flavourful Tea,90,https://www.bigbasket.com/media/uploads/p/l/266597_12-taj-mahal-rich-flavourful-tea.jpg,100 g,Beverages
Tea,220,https://www.bigbasket.com/media/uploads/p/l/266551_8-taj-mahal-tea.jpg,250 g,Beverages
Ladies Finger (Loose),31.82,https://www.bigbasket.com/media/uploads/p/l/10000144_13-fresho-ladies-finger.jpg,500 g,Fruits & Vegetables
Ladies Finger (Loose),63.64,https://www.bigbasket.com/media/uploads/p/l/10000142_16-fresho-ladies-finger.jpg,1 kg,Fruits & Vegetables
Ladies Finger (Loose),15.91,https://www.bigbasket.com/media/uploads/p/l/10000143_14-fresho-ladies-finger.jpg,250 g,Fruits & Vegetables
